N;P;K;temperature;humidity;ph;rainfall;label
67;47;44;2673072391;8178596776;7868474653;2804044392;arroz
73;35;38;2488921174;8197927117;5005306977;1859461429;arroz
77;36;37;2688444878;8146033732;6136131869;1945766559;arroz
81;41;38;2267846116;8372874389;7,52408E+16;2009133156;arroz
68;57;43;2608867875;8037979919;5706943251;1829043504;arroz
72;45;35;2542977518;8294682591;5758506323;1953574542;arroz
61;53;43;2640323239;8105635517;6349606327;2233671883;arroz
67;43;39;2604371967;8496907151;5,99997E+16;1867536773;arroz
67;58;39;252827223;8054372813;5453592032;2201156708;arroz
66;60;38;2208576562;8347038318;6,37258E+15;2317364957;arroz
82;43;38;2328617173;8143321641;5105588355;2423170629;arroz
84;50;44;2548591986;8140633547;5,93534E+16;1826549356;arroz
81;53;42;2367575393;8103569343;517782304;2337034975;arroz
91;50;40;2082477109;841341879;6,46239E+15;2,30224E+16;arroz
93;53;38;2692995077;8191411159;7069172227;2,90679E+16;arroz
90;44;38;2383509503;8388387074;7473134377;2,41201E+16;arroz
81;45;35;2652872817;8012267476;6,15838E+15;2189163567;arroz
78;40;38;2646428311;8385642678;7549873681;2482256491;arroz
60;51;36;2269657794;8281088865;6,02832E+15;2569964761;arroz
88;46;42;2268319059;8346358271;6604993475;1942651719;arroz
93;47;37;2153346343;8214004101;6,50034E+15;2959248796;arroz
60;55;45;2140865769;8,33293E+15;5,93575E+15;2,87577E+15;arroz
78;35;44;2654348085;8467353597;7072655622;1836222657;arroz
65;37;40;2335905428;8359512273;5333322606;188413665;arroz
71;54;16;2261359953;6369070564;5,74991E+16;8775953857;maiz
61;44;17;2610018422;7157476937;6,93176E+15;1022662445;maiz
80;43;16;2355882094;7159351368;6657964753;6671995467;maiz
73;58;21;1997215954;5768272924;6596060648;6065171481;maiz
61;38;20;1847891261;6269503871;5970458434;6543835393;maiz
68;41;16;2177689322;5780840636;6158830619;1020861694;maiz
93;41;17;256217169;6650415474;6047906679;1054654703;maiz
89;60;19;2519192419;6,66903E+15;5913664501;7806639649;maiz
76;44;17;2041683147;6,25542E+15;5855442401;6527798457;maiz
67;60;25;2492162194;6678627406;5750254943;1092162279;maiz
70;44;19;2331689124;734541537;5852607099;9429712821;maiz
90;49;21;2484016732;683584573;6,47252E+16;7405474936;maiz
62;52;16;2227526694;5884015925;6,96706E+16;6387020584;maiz
92;44;16;1887751445;6576816093;6082973754;9476189431;maiz
66;54;21;2519008683;6,02002E+16;5919045532;7212375573;maiz
63;58;22;1825405352;5528220433;6,20475E+15;6372358154;maiz
70;47;17;2,46129E+16;704162444;6600827017;1041626147;maiz
61;41;17;251420613;6526185135;6,0219E+15;7668456006;maiz
66;53;19;2309348056;6,01159E+15;6033550195;6549730729;maiz
74;55;19;1805033737;6289366992;628886807;8423613484;maiz
77;57;21;249321581;7380435276;6,55056E+15;7974078719;maiz
99;50;15;1814710054;7109445342;5573286437;8807753741;maiz
74;56;22;1828362235;6665952796;6829199275;8097573281;maiz
83;45;21;1883344471;5875082029;5716222912;7,97533E+15;maiz
100;48;16;2571895816;6722190688;554990242;7451490791;maiz
79;51;16;2533797709;6849835977;6586244581;9646380213;maiz
94;39;18;2389114571;5748775781;5893093135;1028301942;maiz
75;49;15;2153574127;7150905983;5918263801;1024852929;maiz
78;48;22;2308974909;6310459626;5588650585;7043473609;maiz
87;54;20;2561707368;634711755;6,57642E+15;1088303762;maiz
87;35;25;2144526922;631621551;6178056304;6588951188;maiz
63;43;19;1851816776;5553128131;6641906353;90988051;maiz
84;57;25;2253510514;6799257471;6489040367;6440866039;maiz
64;35;23;2302038334;6189472002;5,68036E+15;6303843397;maiz
60;46;22;2489364635;6561418761;6,6254E+15;879298085;maiz
98;44;21;2577175115;74089114;6524478032;1074931917;maiz
75;56;18;1939851734;6235750641;5696205468;6095197486;maiz
86;55;21;2154156232;5964024162;6803931519;1097515385;maiz
98;35;18;2379746068;7482913698;6,2528E+15;9176337172;maiz
76;57;18;189802729;7452600826;6092725883;9426249353;maiz
99;56;17;2410859207;7313112261;6234330356;7107562236;maiz
60;44;23;247947077;7004556743;5722579819;7672860067;maiz
74;48;17;2163162756;6027766379;6430616465;6921803098;maiz
89;60;17;2537548751;5721025565;5983952675;1017004306;maiz
69;51;23;2221738222;7285462807;680163854;1066213157;maiz
96;46;22;2058314011;6900128641;6499936446;6629390357;maiz
61;60;15;2487502824;6874248334;6265564338;9126056654;maiz
74;58;18;2003728219;5635606753;6727303282;109024141;maiz
74;43;23;2595263264;6189082199;6325235159;9957981207;maiz
63;43;17;1928889933;6547050802;6807487794;713195307;maiz
99;36;20;2057981887;6534583901;6,67109E+15;7834604471;maiz
77;36;23;2471417533;5673426469;6648725327;8845361858;maiz
87;60;23;2027317074;6391281869;6439071996;6250351892;maiz
60;38;17;1841932981;6423580251;6474476516;7641312437;maiz
94;54;17;2339128187;6174427165;5871647806;1073198135;maiz
95;38;22;1984939404;6124500053;5730617109;1007689246;maiz
84;44;21;21869274;6191044947;5850439831;1072681929;maiz
77;58;19;228056033;5650768935;5791649933;1015952794;maiz
66;44;20;190781471;6902298571;6,74E+15;8072515943;maiz
63;35;16;2202720976;6535549924;6272417541;8373280082;maiz
79;45;20;2380546189;5924537979;5,71521E+15;8,99622E+15;maiz
72;60;25;1852510753;690276233;5773454729;8810234397;maiz
67;51;24;2350297882;6132026065;5584171461;6477791424;maiz
86;36;24;2654986394;7289187265;5787268394;7333636055;maiz
76;48;18;1929563411;6963481219;577597783;8321030571;maiz
75;53;18;2068899915;594375337;6864793607;103651438;maiz
81;45;23;1932666088;6,80345E+15;6,19236E+15;8422969177;maiz
73;45;21;2460532218;7358868502;6,6368E+15;9659195302;maiz
71;35;24;2227373646;5952193158;5826426917;6796704792;maiz
96;54;22;2570196694;6133450447;6960358276;8320711308;maiz
99;39;18;1920129357;6830578978;611275104;8785092352;maiz
62;48;20;2170181447;6047470519;6708446922;9571388473;maiz
86;37;16;2051716779;5921235483;5561510732;6761013737;maiz
94;50;19;2330355338;7362548442;5873242491;9759081274;maiz
76;39;24;242547451;5564709899;6995843776;6423845455;maiz
77;52;17;2486374934;657420046;5714799723;7582270467;maiz
74;39;23;226265115;6577472881;678073637;8817251033;maiz
81;49;20;1804185513;6061494304;5513697923;1042321615;maiz
63;42;21;2326237612;7233125523;5,79842E+15;6710225139;maiz
99;38;21;2288330922;7159722446;6352471866;6772777298;maiz
90;52;25;2597482359;6936385721;6822586546;1032234212;maiz
68;40;19;2614384005;6620569924;6655426355;1072361366;maiz
60;57;24;1866116213;6155327249;6,12129E+16;7503247667;maiz
71;52;18;2510787449;5597732754;5,79077E+15;7816077693;maiz
61;59;17;2333844615;5924580604;647444292;1050083144;maiz
88;38;15;2508239719;6592195844;6,45512E+15;6249190812;maiz
65;60;22;2536768364;7252054555;6,60698E+16;1079124111;maiz
78;37;22;2534217103;6331801994;6330554389;7452082026;maiz
78;58;15;2500933355;67816568;6,52863E+16;6291359494;maiz
92;60;23;1866746724;71516474;5721667141;6993293255;maiz
79;59;17;2037999665;6373849998;6644205485;1085054416;maiz
91;55;15;1809300227;7261024172;6376651091;7896159541;maiz
76;51;18;2616985907;7196246617;6247040422;7984925393;maiz
87;48;25;1865396672;6137879671;6,65673E+15;9362039175;maiz
71;60;22;2607470121;5937147589;62048017;8575692395;maiz
90;57;24;1892851916;7280086137;6158860284;8234162918;maiz
67;35;22;2330546753;6324648023;6,38568E+16;1087603001;maiz
60;54;19;1874826712;6249878458;6417820493;7023401597;maiz
83;58;23;1974213321;5966263104;6381201909;6550861389;maiz
83;57;19;2573044432;7074739256;6877869005;9873771338;maiz
40;72;77;1702498456;1698861173;7485996067;8855123143;garbanzo
23;72;84;1902061277;1713159126;6920251378;7992698081;garbanzo
39;58;85;1788776475;1540589717;5,99693E+16;6854932919;garbanzo
22;72;85;1886805647;1565809214;6391173589;8851048983;garbanzo
36;67;77;1836952567;1956381041;7,15281E+15;7926357665;garbanzo
32;73;81;2045078582;1540312102;5,98899E+15;9268373702;garbanzo
58;70;84;206543203;1660820843;6,23105E+15;746631118;garbanzo
59;70;84;173348681;1874926979;7,55081E+15;8261734721;garbanzo
42;62;75;1817912258;1890426935;7010570541;8184997529;garbanzo
28;74;81;1801272266;1830968112;8753795334;8198568791;garbanzo
58;66;79;2099373558;1933470387;8,71819E+15;9355280105;garbanzo
43;66;79;1946233971;1522538951;7976607593;7458565097;garbanzo
58;63;81;1981344531;1469765308;6,5155E+16;7896514709;garbanzo
23;62;85;1897424756;195161216;8490127142;807108745;garbanzo
27;62;77;1819737048;1471070537;6576415562;7018185181;garbanzo
28;72;84;1872963144;1918197264;6,48178E+15;7158010169;garbanzo
50;56;76;2099502153;198601304;7966605025;7350734019;garbanzo
39;71;84;2028155898;1639535215;8140825437;8252339655;garbanzo
25;78;76;1748042641;157559405;7228963452;6696980581;garbanzo
31;70;77;2088818675;1432313811;6492546046;9046228334;garbanzo
26;80;83;1708498521;1614565756;7,5286E+15;7131007253;garbanzo
25;68;77;2009340593;1511279612;7701446446;8574904898;garbanzo
31;78;76;1757212145;1499927489;8519975748;8931050665;garbanzo
60;68;83;1912065218;1843475844;6620900869;8552950164;garbanzo
59;62;83;1857665902;1922008229;8,1044E+15;7294940441;garbanzo
22;67;78;1716606398;1442457525;6204090835;7232667516;garbanzo
36;65;80;182872007;1667921616;6051091339;7487445574;garbanzo
59;60;84;1903025305;1866725565;7,69096E+15;9470992037;garbanzo
54;77;85;1,71419E+16;170662427;7,82921E+16;8374606679;garbanzo
43;68;81;1747809436;1793253975;6761599706;7892060234;garbanzo
28;76;82;2056601874;1425803981;6654425315;8375937135;garbanzo
42;79;85;1722385224;1582069268;6129533877;7657580954;garbanzo
32;60;83;1969141713;1944225438;8829273328;9176071648;garbanzo
22;78;76;1784851658;1909172907;8621662982;7632470713;garbanzo
31;79;75;188202251;161074793;8204862075;8973119396;garbanzo
28;58;81;1747500984;1654314829;618042747;9335034262;garbanzo
57;58;77;1872649425;1758406365;7978996755;8120176515;garbanzo
49;55;78;1865580107;1617772668;7863113671;8170769297;garbanzo
46;76;77;182356751;1968538502;6967843048;8374879344;garbanzo
54;61;77;1881198127;1521618225;6,20658E+15;7,75429E+15;garbanzo
38;60;76;1865054116;1780852431;8868741443;7792798682;garbanzo
59;55;79;2036720401;1689574311;8766128654;822545577;garbanzo
36;76;75;1838120357;1663805158;8736337905;7052056697;garbanzo
57;68;81;1717012591;1730457712;8081095263;7278624223;garbanzo
35;66;81;1937101121;1577458129;6138243973;8524819851;garbanzo
35;64;78;1792845928;1427327988;7496645259;8537378769;garbanzo
52;60;79;1945339934;1823490739;8380185271;756317566;garbanzo
27;76;83;1912829388;1492241479;6289614016;8961857826;garbanzo
57;60;84;191034283;1726184541;6586777189;7549101167;garbanzo
52;68;78;1748504075;1696070581;689655198;8605078037;garbanzo
43;79;79;1940751744;1898030507;7,80675E+16;8025064637;garbanzo
44;74;85;2018649426;1963719995;7150681303;7826039559;garbanzo
24;55;78;1730287885;1515405941;664919573;7557790384;garbanzo
29;77;75;1750361137;1548083156;7,77859E+15;729446671;garbanzo
20;60;78;1817234999;1470085967;6358740355;907760707;garbanzo
56;67;78;1757445618;1671826572;8255450758;7781891424;garbanzo
37;66;85;2093175255;1891295403;6456148474;7806910795;garbanzo
49;71;76;1971098332;1763879418;6613072145;8557925437;garbanzo
59;69;80;1907937684;1786754927;8165359297;6940619137;garbanzo
20;79;77;1854988627;1602542689;764867466;7632565249;garbanzo
24;56;85;1819903647;1741333199;6545888558;806405403;garbanzo
51;72;75;1888852533;1499451145;7,10422E+16;8,01113E+15;garbanzo
57;73;85;1849311205;1472115044;7358099622;9194595352;garbanzo
22;64;82;1948974337;1717260319;6,47402E+16;8751312796;garbanzo
52;73;79;1725769499;1874943955;7,84034E+15;9400287214;garbanzo
29;75;75;1962416326;1871483156;7064790365;884585692;garbanzo
44;59;78;2067526473;1985388984;7599033472;8478344008;garbanzo
41;69;82;2002381489;1663294455;6,71559E+15;6897806542;garbanzo
52;56;85;2,01187E+16;1444228303;681712422;8868168643;garbanzo
34;76;80;2065691793;1584572566;7985417393;6523811143;garbanzo
42;74;83;192582557;142804191;7545258424;6578042032;garbanzo
34;71;79;17927806;1585622899;7728998197;7463872762;garbanzo
27;73;79;1916288268;1583500655;7354973451;8269766829;garbanzo
30;70;79;2026942271;1996978871;7313122235;6964449182;garbanzo
57;57;75;1709104223;1825142068;7785039076;8727444866;garbanzo
27;79;82;1706579293;1754024066;6,307E+15;7087150577;garbanzo
32;71;85;2062767492;1444008871;6,40398E+16;9206630306;garbanzo
31;76;82;208248451;1785057083;7599279991;7920509212;garbanzo
33;75;84;1946210401;1872831993;7217018459;6881405149;garbanzo
47;80;77;1718248372;1642891834;7561108006;7285017344;garbanzo
54;62;80;1748911699;1639055394;7489545074;7945758333;garbanzo
47;79;78;1748395377;1476014523;6609696734;6511365631;garbanzo
35;57;83;1948316794;1744534641;7476800943;804986291;garbanzo
53;73;77;1971359733;1809665739;7325451279;7364476535;garbanzo
45;61;78;1948649305;1606240074;6489389282;8,15284E+15;garbanzo
37;78;79;1995264829;1482633099;7786366322;886810311;garbanzo
30;75;81;1941789736;1680472243;6,40844E+16;684951189;garbanzo
37;55;82;1945591848;1802235902;8423873703;7844910564;garbanzo
53;65;76;2019137759;1641998269;8719960893;7733795356;garbanzo
22;60;85;188392908;1474071856;7,812E+15;9478189594;garbanzo
60;61;78;2071219282;1983643308;6317153205;9403659867;garbanzo
42;67;77;1899424448;159362937;7114405288;7869707199;garbanzo
39;76;76;1996837462;1557324389;8,1359E+15;6915759062;garbanzo
35;63;76;1781564548;1760756635;7,71415E+15;9082097601;garbanzo
30;65;82;2071424384;1527824066;7103798069;7677888672;garbanzo
57;56;78;1734150229;1875626255;8861479668;679545435;garbanzo
48;65;78;1743732714;1433847406;7861128148;730926704;garbanzo
36;56;83;1889780215;1976182946;74526709;6909512477;garbanzo
40;58;75;1859190771;1477959596;7168096055;8960982451;garbanzo
49;69;82;1831561493;1536143547;726311855;8178710463;garbanzo
13;60;25;1713692774;2059541693;568597166;128256862;frejoles
25;70;16;1963474332;1890705639;5759237003;1063598183;frejoles
31;55;22;2291350245;2133953114;5873171894;109225556;frejoles
40;64;16;1643340342;2424045875;5926676985;1403717815;frejoles
2;61;20;2213974653;2302251117;595561668;7664128258;frejoles
26;65;22;1784806561;1877621951;5,94995E+16;1,43098E+16;frejoles
17;57;21;1988394011;2031564139;5,78921E+16;6091974792;frejoles
26;80;18;1932509638;233334788;5581021521;1047783947;frejoles
17;59;17;1,84167E+16;2342829938;5689858133;1329801054;frejoles
27;59;22;2181167649;2320591245;5,79416E+16;1300608093;frejoles
28;58;24;1972702528;1828173015;5,74819E+15;1437630894;frejoles
25;57;19;1715432954;1987070659;5566522896;8799669731;frejoles
28;80;17;1962207826;1867170854;5809419584;1441567454;frejoles
25;60;22;2163149148;2117919701;5887263027;1343649948;frejoles
12;78;23;1606522754;1872479695;599812453;8806638775;frejoles
6;77;25;2061162204;2436314135;5792744849;6963833855;frejoles
22;79;17;2142451099;2039659714;5912289889;1165206923;frejoles
27;80;15;1907096165;2121092266;5,78839E+16;8621917578;frejoles
10;55;23;2118853178;1963438599;5728233081;1371948633;frejoles
23;65;20;230429097;2242610972;5833940084;1083684316;frejoles
19;78;16;2065375833;2310538637;5967533236;6771768947;frejoles
19;65;25;1809551014;1829318436;5,6251E+16;1447902323;frejoles
22;70;19;1823775702;2107643273;5515615023;6944951585;frejoles
37;64;22;1748189735;188251973;5954665349;1219401369;frejoles
11;71;17;199191786;2147324158;574644777;8268554379;frejoles
18;79;20;2027514686;232353604;5877347515;1397521543;frejoles
21;63;17;1577370214;192303162;5979973965;1083441414;frejoles
24;80;22;1671170642;1917651433;5635993966;9677285817;frejoles
34;60;22;1766148158;1815302753;5635231778;1006711761;frejoles
16;75;21;1850692825;2361670065;5679224346;8,70513E+15;frejoles
17;77;23;2451324787;2081527638;5670062975;6419497947;frejoles
37;72;18;1887614998;2454038287;5724242065;1054120514;frejoles
40;73;20;2159343016;2031871249;5,81131E+15;6113872036;frejoles
9;77;17;2012373284;2445202552;5783425416;106158201;frejoles
1;62;23;1543546065;1837477907;5,60781E+15;1390302034;frejoles
33;59;22;2264236876;2159396123;5946999529;1223886015;frejoles
23;59;19;2198560799;2487304788;5852046999;1295650601;frejoles
6;62;22;2053052663;1809224048;5824090984;1204509288;frejoles
25;63;20;1578601387;2114544088;5502999119;9517028129;frejoles
7;79;23;196365349;1968751084;5821649914;9665888933;frejoles
8;72;17;2057341244;197520218;5711439256;8787869161;frejoles
27;64;15;2016080524;2484207559;5514927264;1382362122;frejoles
28;66;23;2153989176;2425386207;599616119;1206913038;frejoles
32;57;18;1553834801;2375560241;5,69542E+15;1073850593;frejoles
27;56;22;1991853092;2070099804;5,83301E+15;1086434544;frejoles
17;77;24;2076952209;1893146941;5568456899;1090193712;frejoles
0;65;15;2346168338;2322197648;5645435626;9584253438;frejoles
13;72;21;2432116642;210278674;5821194486;6027552528;frejoles
34;60;23;2012574053;2496969858;5659254981;1000497183;frejoles
9;80;19;2180619564;1857086554;5945465949;1250972687;frejoles
11;72;20;1952226241;2492607153;5,95118E+16;113334026;frejoles
3;67;24;1700067625;1990790546;5,52088E+16;1032926407;frejoles
35;69;23;1678791503;2496881755;5578410206;7545328039;frejoles
3;77;25;2484906168;2289464642;5608165195;6221292186;frejoles
23;62;19;1651783455;204555596;5,60944E+15;9877794225;frejoles
22;71;17;1815300153;1938602098;5509295379;1076907964;frejoles
31;79;25;2318864385;223104551;5902033406;6338208822;frejoles
34;59;18;2338002569;2198879437;5744117663;8766898664;frejoles
12;63;17;18358923;1937703396;5717143397;138414764;frejoles
27;56;20;1925975367;2051346956;5542690119;949533526;frejoles
7;63;24;2295458237;2403553105;5858617867;1077315386;frejoles
24;67;22;20120043;2289845607;5,61884E+15;1046252153;frejoles
11;71;24;2114011423;227182355;5,60662E+16;1416056722;frejoles
37;74;15;2492360104;1822590825;5582178402;627089169;frejoles
25;76;24;1533042636;2491506728;556503533;1353315583;frejoles
34;66;17;1881097271;2127833035;5,88961E+15;125084915;frejoles
20;69;15;2344260668;2277255917;5934136378;1074137246;frejoles
37;65;16;228352024;1897267518;5683548308;6359276673;frejoles
18;74;15;249035819;2227512704;570836603;1464727237;frejoles
4;67;25;2378709569;2435679348;5948164454;1196404412;frejoles
37;56;25;2205592283;1960379304;5,77476E+16;1267265372;frejoles
5;59;15;1887492997;2018238348;597229163;1341811718;frejoles
11;61;21;1862328774;2302410338;5532100554;1,35338E+16;frejoles
22;80;20;2300884744;1886880997;5669560726;100118612;frejoles
12;61;19;1933162606;2413995025;5,65573E+15;6851253427;frejoles
5;74;21;1624469193;2135793891;5,5917E+16;6697053257;frejoles
27;69;22;1791652287;2490814655;5932323085;6914681022;frejoles
31;75;18;1546789263;2143780702;5,82421E+16;8888796102;frejoles
36;68;20;1706104474;2377201471;586442953;8183420522;frejoles
5;65;16;2132776028;1848522915;5866744372;1091013261;frejoles
32;79;15;2390910104;2074619325;5706198621;8160211243;frejoles
11;78;22;2389756791;2274378977;5940546818;1126616435;frejoles
0;55;22;2298666928;2057940608;5916779289;1,43858E+16;frejoles
14;59;15;2135135729;2291244883;5779090476;1464548645;frejoles
29;68;23;241638445;1927907819;582738029;1167324324;frejoles
32;68;19;2462835037;1818325169;5514234138;1497441028;frejoles
17;64;17;2102213209;2493896255;5662699104;1246118471;frejoles
13;69;19;1730844532;2001730914;586390397;115199245;frejoles
14;67;22;2382576704;2475485098;5,62469E+15;8464143632;frejoles
9;69;20;1930607278;2396362799;5591560999;1293449326;frejoles
20;73;22;1603768615;2233195853;5,97631E+15;1303900798;frejoles
40;78;20;1918572809;2083398341;5669236258;8015293435;frejoles
27;72;23;1992889503;2179992115;5961934481;6402640797;frejoles
14;67;15;1956376468;2467385131;5690065688;1392921004;frejoles
7;56;18;1831357543;2432991649;5698371311;7614153904;frejoles
27;65;18;2010993761;2322323766;559503163;7336386477;frejoles
30;63;16;2360506572;2190539577;5,5259E+16;1005978728;frejoles
37;70;25;1973136909;2489487354;5819403771;8406354115;frejoles
27;63;19;2093409877;211893007;5562201934;1331914419;frejoles
22;60;24;1878226261;2024768314;5630664753;1042570723;frejoles
3;72;24;3651268371;5792887167;603160778;1226539694;guizante
40;59;23;3689163721;6273178224;5269084669;1637266551;guizante
33;73;23;2923540524;5938967583;5985792703;1033301803;guizante
27;57;24;2733534897;4335795962;609186275;1,4233E+16;guizante
10;79;18;210643684;5546985938;5,62473E+15;1846226709;guizante
30;75;25;3033276599;4235249879;6446091759;149299952;guizante
40;70;20;3180130272;4503186173;5,62349E+15;1,47036E+16;guizante
38;55;19;3318184225;3823184742;5,86462E+15;1988298806;guizante
35;58;20;2938538562;6347742011;5761702519;9005422663;guizante
38;61;21;3027374995;6738680755;4696518678;1277767134;guizante
33;58;24;3545790488;6875810535;5269504214;1086333046;guizante
16;56;17;3380020039;4003262418;7,44544E+15;1766165894;guizante
31;72;17;2869180475;4947225353;5,83303E+15;9636222901;guizante
16;80;20;3124021696;5667369054;7,33932E+16;1220146733;guizante
27;72;17;2898039357;5723265151;6347929353;1207435664;guizante
40;62;19;2732198928;3413737127;4697750704;9651524028;guizante
18;58;16;2147607807;3880023714;4962661422;180382234;guizante
3;68;16;1831910448;3469776639;4964887857;1074721605;guizante
26;67;24;3697794384;3773992903;5642813116;1,61481E+16;guizante
16;70;20;2480467592;401242747;56093956;1215639121;guizante
24;63;19;193479443;5596805489;4681576043;1945921148;guizante
9;76;25;2888302142;5012323801;570951224;1792155874;guizante
16;55;19;1954314136;4719188279;6413543781;1924372194;guizante
28;75;21;247741949;5054621094;6007508163;1142821387;guizante
16;71;24;1833124824;3840975482;4946369874;1,39648E+16;guizante
24;70;21;1914729038;453733757;5517208078;1327748215;guizante
38;72;21;2823416057;494421345;5902103172;1865008581;guizante
9;66;21;3011812084;3413307843;5719889876;1570858232;guizante
34;56;17;334126864;3542910045;4548202098;1396702541;guizante
1;76;19;2418553163;4668746847;6,66953E+16;1773377996;guizante
6;69;19;2688630675;4169617915;4,75093E+16;9446748008;guizante
26;73;21;3133170829;5797429171;4946263888;1617820226;guizante
27;61;18;3330711818;6707780816;5266227032;1085090168;guizante
27;71;23;2345379018;4648714759;710959773;1,50871E+16;guizante
36;61;21;3453823889;3904468913;5617008201;1685948318;guizante
17;73;18;1950112224;3451086611;5632353113;1973752649;guizante
26;72;22;2876794904;3757792132;4674941549;9172084869;guizante
17;64;16;3097758716;3224914235;7161797643;180716828;guizante
14;74;19;1839759147;3682639309;6624966131;9312330644;guizante
39;60;15;3509357419;3098685456;5,00407E+15;1169106908;guizante
6;66;15;3493174223;3040046769;6,34581E+16;1592649827;guizante
8;59;18;2950523036;3572032498;6216814453;1878961851;guizante
2;67;18;3451934775;4752980027;5921666758;1290064612;guizante
1;76;17;2843430726;5210010827;6012719118;1470414824;guizante
16;73;19;1841645629;3480541039;4684079249;1,63275E+16;guizante
